OBJECTID;Perimetro;Area;CantidadConstrucciones;Area_int;X_MAGNAMED;Y_MAGNAMED;CS_TF;EQ_TF;H_TF;PP_TF;PC_TF;PP_TF;TR_TF;UR_TF;ValorM2;ZP_TF;R_TF;C_AvaluoLote;C_AvaluoConstruccion;C_AvaluoTotal
298999;645.8124956;19703.12892;0;19700;840074.0017;1178341.295;1;1;0;1;1;1;0;1;15651;1;1;170912000;148107000;319019000
298998;427.0176797;7208.690316;0;7208;840198.6101;1178298.841;0;1;1;1;1;1;0;1;15651;0;1;9482000;17382000;26864000
162550;66.32093398;266.8200812;0;267;840228.847;1178242.028;0;1;1;1;1;1;0;1;15651;0;1;2415000;38340000;40755000
164057;190.5020467;1591.462617;0;1591;840231.5594;1178275.153;0;1;1;1;1;1;0;1;15651;0;1;13899000;41947000;55846000
298371;414.1875529;8982.964414;0;8982;840263.865;1178387.69;0;1;1;1;1;1;0;1;15651;0;1;705194000;47985000;753179000
298787;523.7526096;11013.60997;0;11012;840371.4422;1178384.033;0;1;1;1;1;1;0;1;15651;0;1;95585000;213037000;308622000
298778;200.5771411;2387.420298;0;2387;840533.5892;1178406.037;0;1;0;1;1;1;0;1;15651;1;1;20799000;27753000;48552000
298145;166.8474484;1763.921595;0;1764;840588.4017;1178437.981;0;1;0;1;1;1;0;1;15651;1;1;15394000;40397000;55791000
298777;291.0237173;2215.837278;0;2215;840576.6002;1178399.754;0;1;0;1;1;1;0;1;15651;1;1;19311000;31884000;51195000
281731;473.6798219;6193.799833;0;6193;840538.5143;1178342.224;0;1;0;1;1;1;0;1;15651;1;1;53797000;63055000;116852000
281730;103.0695913;662.54614;0;662;840576.269;1178332.337;0;1;0;1;1;1;0;1;15651;1;1;9731000;0;9731000
157339;131.3326648;1027.529984;0;1027;840609.1375;1178339.427;0;1;0;1;1;1;0;1;15651;1;1;9009000;55732000;64741000
157329;73.99376684;338.7026472;0;339;840638.5494;1178345.682;0;1;0;1;1;1;0;1;15651;1;1;36560000;18892000;55452000
156577;76.46164197;359.311882;0;359;840658.1457;1178349.082;0;1;0;1;1;1;0;1;15651;1;1;8438000;0;8438000
297840;189.1823931;1972.952446;0;1973;840631.0746;1178369.982;0;1;0;1;1;1;0;1;15651;1;1;17206000;61114000;78320000
281727;196.4745556;2097.342608;0;2097;840620.6003;1178405.899;0;1;0;1;1;1;0;1;15651;1;1;18284000;9297000;27581000
296179;265.3076314;4082.40321;0;4082;840664.0458;1178461.126;0;1;1;1;1;1;0;1;15651;0;1;35495000;14269000;49764000
